order_year,order_month,total_sales,total_orders,Growth_Rate
2016,9,134.970005,3,
2016,10,40325.10985,313,29777.10%
2016,12,10.89999962,1,-100.00%
2017,1,111798.3599,913,1025573.10%
2017,2,234223.3999,1858,109.50%
2017,3,359198.8495,2897,53.40%
2017,4,340669.6797,2569,-5.20%
2017,5,489338.2494,4004,43.60%
2017,6,421923.3701,3489,-13.80%
2017,7,481604.5203,4416,14.10%
2017,8,554699.7005,4797,15.20%
2017,9,607399.6694,4737,9.50%
2017,10,648247.65,5214,6.70%
2017,11,987765.3711,8475,52.40%
2017,12,726033.1898,6187,-26.50%
2018,1,924645.0015,8037,27.40%
2018,2,826437.1313,7518,-10.60%
2018,3,953356.2512,8017,15.40%
2018,4,973534.0894,7827,2.10%
2018,5,977544.6898,7810,0.40%
2018,6,856077.8595,7010,-12.40%
2018,7,867953.4603,6963,1.40%
2018,8,838576.6397,7142,-3.40%
